续 前 页 单位 :100m
虹 单 分 离 式 连 。 拱
序 项 目 代 号 一
号 位 二 车 道 三 车 道 四 车 道 二 车 道

La 3 4
14 | 膨胀 螺栓 套 | 2009015 104.01 88.8T 76.08 114.50
15 | 铁 件 kg | 2009028 245.30 325. 56 357.89 271.48
16 | 铁 钉 kg | 2009030 0.24 0.33 0.34 0.24
17 | 铸铁 算 子 kg | 2009032 1.89 1.74 1.68 1.89
18 | TU 形 销 钉 kg | 2009034 6.68 6166 6.30 6.68
19 | 石油 沥青 t | 3001001 0:010 07011 0.011 0.010
20 | 乳化 沥青 t | 3001005 08025 0.024 0.024 0.025
21 | 水 m3 | 3005004 605.98 671.63 705.28 639.06
22 | 原木 m3 | .4003001 0.401 0.499 0.532 0.424
23 | 锯 材 om3 | 4003002 0.494 0.574 0.615 0.540
24 | 草 籽 寻 4013001 工 68 1.63 1.56 1.68
25 | 三 维 植被 网 m21 | 5001009 26.46 26.41 24.98 26.46
26 | 塑料 防水 板 喜 | 5001010 20.36 29.38 36.50 39.41
27 | PVC 塑料 管 (450mm) m | 5001013 5.17 8.81 9.67 5.17
28 | PVC 镜 料 管 (100mm) m_ | 5001014 1.94 1.45 1.22 1.98
29 | 塑料 弹簧 软 管 (50mm ) m | 5001018 25.38 21.67 18.56 27.94
30 | 塑料 弹 签 软 管 (bl10mm) m | 5001020 16.23 14.79 13.87 16.22
